abase	Forward	1468	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
abate	Forward	1469	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
abdicate	Forward	1470	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
aberration	Forward	1471	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
abet	Forward	1472	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
abeyance	Forward	1473	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
abject	Forward	1474	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
abrade	Forward	1475	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
abscond	Forward	1476	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
absolute	Forward	1477	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
absolve	Forward	1478	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
abstain	Forward	1479	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
abstract	Forward	1480	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
abstruse	Forward	1481	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
accelerate	Forward	1482	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
accessible	Forward	1483	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
accessory	Forward	1484	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
acclaim	Forward	1485	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
accolade	Forward	1486	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
accomodate	Forward	1487	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
accomplice	Forward	1489	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
acknowledge	Forward	1490	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
acquittal	Forward	1491	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
acrimony	Forward	1492	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
acumen	Forward	1493	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
adamant	Forward	1494	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
adapt	Forward	1495	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
addiction	Forward	1496	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
adhere	Forward	1497	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
adjacent	Forward	1498	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
adjudicate	Forward	1499	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
admonish	Forward	1500	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
adroit	Forward	1501	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
adulation	Forward	1502	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
adulterate	Forward	1503	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
adversary	Forward	1504	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
adverse	Forward	1505	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
adversity	Forward	1506	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
advocate	Forward	1507	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
aesthetic	Forward	1508	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
affable	Forward	1509	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
affected	Forward	1510	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
affinity	Forward	1511	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
affirmation	Forward	1512	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
affix	Forward	1513	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
affluence	Forward	1514	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
affront	Forward	1515	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
aggregate	Forward	1516	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
agility	Forward	1517	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
agitate	Forward	1518	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
alacrity	Forward	1519	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
alias	Forward	1520	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
alienate	Forward	1521	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
alleviate	Forward	1522	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
alloy	Forward	1523	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
allude	Forward	1524	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
allure	Forward	1525	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
allusion	Forward	1526	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
aloft	Forward	1527	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
aloof	Forward	1528	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
altercation	Forward	1529	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
altruistic	Forward	1530	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
amalgam	Forward	1531	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
ambiguous	Forward	1532	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
ambivalence	Forward	1533	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
ambulatory	Forward	1534	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
ameliorate	Forward	1535	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
amenable	Forward	1536	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
amiable	Forward	1537	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
amorous	Forward	1538	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
amorphous	Forward	1539	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
ample	Forward	1540	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
amplify	Forward	1541	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
anachronism	Forward	1542	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
analogy	Forward	1543	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
anarchist	Forward	1544	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
anarchy	Forward	1545	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
ancillary	Forward	1546	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
animated	Forward	1547	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
animosity	Forward	1548	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
anomaly	Forward	1549	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
antagonism	Forward	1550	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
antecedents	Forward	1551	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
anticlimax	Forward	1552	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
antipathy	Forward	1553	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
antiquated	Forward	1554	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
antiseptic	Forward	1555	Barron's Basic Word List: 1500 words for the PSAT, SAT, etc.
