abandon	Definition -> Word	31	GMAT
abbreviate	Definition -> Word	156	GMAT
aberrant	Definition -> Word	204	GMAT
abhor	Definition -> Word	48	GMAT
abnegation	Definition -> Word	86	GMAT
abominate	Definition -> Word	1	GMAT
abridge	Definition -> Word	106	GMAT
abrupt	Definition -> Word	59	GMAT
absolve	Definition -> Word	80	GMAT
abstinence	Definition -> Word	209	GMAT
Abstruse	Definition -> Word	90	GMAT
Abysmal	Definition -> Word	128	GMAT
accede	Definition -> Word	19	GMAT
account for	Definition -> Word	183	GMAT
accrue	Definition -> Word	96	GMAT
acerbic	Definition -> Word	9	GMAT
acquiesce	Definition -> Word	30	GMAT
acrimony	Definition -> Word	105	GMAT
adamant	Definition -> Word	67	GMAT
adept	Definition -> Word	25	GMAT
adroit	Definition -> Word	108	GMAT
adverse	Definition -> Word	4	GMAT
affinity	Definition -> Word	122	GMAT
aghast	Definition -> Word	75	GMAT
agrarian	Definition -> Word	101	GMAT
aloof	Definition -> Word	88	GMAT
altruistic	Definition -> Word	6	GMAT
amendment	Definition -> Word	134	GMAT
amiable	Definition -> Word	210	GMAT
amicable	Definition -> Word	211	GMAT
amiss	Definition -> Word	33	GMAT
amity	Definition -> Word	140	GMAT
anecdote	Definition -> Word	35	GMAT
antagonism	Definition -> Word	77	GMAT
apocalyptic	Definition -> Word	12	GMAT
Appease	Definition -> Word	68	GMAT
apprehensive	Definition -> Word	58	GMAT
arable	Definition -> Word	17	GMAT
ardent	Definition -> Word	74	GMAT
aromatic	Definition -> Word	15	GMAT
artifice	Definition -> Word	116	GMAT
ascetic	Definition -> Word	87	GMAT
askance	Definition -> Word	84	GMAT
aspirant	Definition -> Word	49	GMAT
assess	Definition -> Word	45	GMAT
astringent	Definition -> Word	127	GMAT
atrophy	Definition -> Word	79	GMAT
augment	Definition -> Word	3	GMAT
authentic	Definition -> Word	13	GMAT
autocrat	Definition -> Word	149	GMAT
aver	Definition -> Word	85	GMAT
awry	Definition -> Word	83	GMAT
azure	Definition -> Word	167	GMAT
baleful	Definition -> Word	202	GMAT
banal	Definition -> Word	7	GMAT
baroque	Definition -> Word	81	GMAT
be far less	Definition -> Word	200	GMAT
beholden	Definition -> Word	159	GMAT
behoove	Definition -> Word	107	GMAT
bemuse	Definition -> Word	28	GMAT
beneficent (adj)	Definition -> Word	112	GMAT
benevolent	Definition -> Word	91	GMAT
benign	Definition -> Word	27	GMAT
bereft	Definition -> Word	157	GMAT
bestial	Definition -> Word	213	GMAT
betroth	Definition -> Word	214	GMAT
blatant	Definition -> Word	150	GMAT
breadth	Definition -> Word	132	GMAT
brusque	Definition -> Word	162	GMAT
bucolic	Definition -> Word	70	GMAT
burnish	Definition -> Word	29	GMAT
cache	Definition -> Word	23	GMAT
cacophonous (adj)	Definition -> Word	39	GMAT
Cajole	Definition -> Word	118	GMAT
calamity	Definition -> Word	50	GMAT
caliber	Definition -> Word	173	GMAT
candid	Definition -> Word	208	GMAT
caprice	Definition -> Word	5	GMAT
captious	Definition -> Word	62	GMAT
cascade	Definition -> Word	169	GMAT
cataclysm	Definition -> Word	95	GMAT
catharsis	Definition -> Word	82	GMAT
censor	Definition -> Word	137	GMAT
cessation	Definition -> Word	21	GMAT
chafed	Definition -> Word	147	GMAT
Chasten	Definition -> Word	164	GMAT
chastise	Definition -> Word	99	GMAT
choleric	Definition -> Word	133	GMAT
chortle	Definition -> Word	43	GMAT
circumvent	Definition -> Word	176	GMAT
clandestine	Definition -> Word	203	GMAT
clemency	Definition -> Word	26	GMAT
coda	Definition -> Word	104	GMAT
codify	Definition -> Word	94	GMAT
cogitate	Definition -> Word	47	GMAT
cognate	Definition -> Word	130	GMAT
Cognitive	Definition -> Word	93	GMAT
cognizant	Definition -> Word	154	GMAT
cogwheel	Definition -> Word	201	GMAT
coherent	Definition -> Word	121	GMAT
cohesion	Definition -> Word	32	GMAT
colloquial	Definition -> Word	146	GMAT
commodious	Definition -> Word	205	GMAT
communal	Definition -> Word	11	GMAT
Commuters	Definition -> Word	191	GMAT
compensation	Definition -> Word	181	GMAT
comport	Definition -> Word	170	GMAT
concede	Definition -> Word	206	GMAT
conciliatory	Definition -> Word	36	GMAT
conclave	Definition -> Word	143	GMAT
condescend	Definition -> Word	125	GMAT
confluence	Definition -> Word	72	GMAT
confound	Definition -> Word	110	GMAT
conglomeration	Definition -> Word	65	GMAT
conjure	Definition -> Word	41	GMAT
connivance	Definition -> Word	92	GMAT
consecrate	Definition -> Word	168	GMAT
consort with	Definition -> Word	22	GMAT
conspicuous	Definition -> Word	139	GMAT
conspiracy	Definition -> Word	138	GMAT
consternation	Definition -> Word	37	GMAT
contiguous	Definition -> Word	160	GMAT
conventional	Definition -> Word	69	GMAT
converge	Definition -> Word	24	GMAT
convoke	Definition -> Word	207	GMAT
correlate	Definition -> Word	61	GMAT
coterie	Definition -> Word	14	GMAT
counter	Definition -> Word	182	GMAT
covenant	Definition -> Word	40	GMAT
Covetous	Definition -> Word	145	GMAT
coy	Definition -> Word	44	GMAT
crass	Definition -> Word	20	GMAT
culpable	Definition -> Word	71	GMAT
culprit	Definition -> Word	187	GMAT
cursory	Definition -> Word	73	GMAT
