emigration	3.86	4
redeem	3.86	3
culmination	3.85	7
rant	3.85	6
restraint	3.85	4
rouse	3.85	4
susceptible	3.85	7
synthesis	3.85	8
mystical	3.85	4
groom	3.85	3
invoked	3.85	5
mortar	3.85	3
cynical	3.84	8
provisional	3.84	8
satire	3.84	5
subordinate	3.84	7
unprecedented	3.84	6
bait	3.84	4
vain	3.84	3
devised	3.84	3
parity	3.84	4
ventilation	3.84	3
verge	3.84	4
lyric	3.84	3
divergent	3.83	8
mock	3.83	4
perpetual	3.83	7
phenomena	3.83	4
redundant	3.83	9
singular	3.83	7
solicitation	3.83	9
annex	3.83	6
bliss	3.83	5
discourse	3.83	6
exert	3.83	3
vivid	3.83	3
hardy	3.83	5
maternal	3.83	3
denomination	3.83	4
inhibit	3.82	5
sage	3.82	6
benedict	3.82	4
surge	3.82	3
confiscated	3.82	3
maneuver	3.82	4
forensic	3.82	4
hygiene	3.82	3
shove	3.82	3
rig	3.82	3
dexter	3.81	5
plausible	3.81	6
reconcile	3.81	7
refrain	3.81	4
terrestrial	3.81	6
catalyst	3.81	10
anthem	3.81	4
auxiliary	3.81	5
combustion	3.81	4
levy	3.81	3
stellar	3.81	3
vigilant	3.81	5
warranty	3.81	3
herd	3.81	3
aggravated	3.81	3
complement	3.8	6
concurrent	3.8	5
cosmic	3.8	4
pivotal	3.8	7
versatile	3.8	5
advert	3.8	5
compulsory	3.8	3
dispense	3.8	4
groove	3.8	4
foil	3.8	5
incremental	3.8	5
jade	3.8	6
retention	3.8	4
spatial	3.8	3
warp	3.8	4
naive	3.8	4
dilemma	3.79	6
chuckle	3.79	3
oversee	3.79	3
infiltration	3.79	4
requisite	3.79	6
saga	3.79	3
boycott	3.78	3
diligence	3.78	7
disparity	3.78	12
excerpt	3.78	4
monarchy	3.78	5
paradox	3.78	10
parody	3.78	8
recounted	3.78	3
remnants	3.78	5
rift	3.78	6
turbulence	3.78	5
flora	3.78	6
anecdotes	3.78	9
swell	3.78	3
coma	3.78	4
entails	3.78	4
friction	3.78	4
notch	3.78	4
imperative	3.78	6
craving	3.78	4
soaring	3.78	3
wrath	3.78	4
beneficiaries	3.77	4
bounty	3.77	3
contempt	3.77	6
depleted	3.77	7
despise	3.77	5
detrimental	3.77	5
novelty	3.77	4
propagation	3.77	6
purge	3.77	5
reiterated	3.77	7
relegated	3.77	8
resilience	3.77	5
uphold	3.77	3
abruptly	3.77	3
gazette	3.77	3
miniature	3.77	3
motto	3.77	4
salute	3.77	3
alloy	3.76	9
ascended	3.76	9
awe	3.76	6
discern	3.76	11
indifferent	3.76	8
knit	3.76	5
lingering	3.76	5
prestige	3.76	5
volatile	3.76	11
communal	3.76	4
amnesty	3.76	6
appraisal	3.76	6
forthcoming	3.76	3
loom	3.76	3
swamp	3.76	3
gradation	3.76	4
retrospective	3.76	4
emulate	3.75	11
hypocrite	3.75	5
imminent	3.75	7
nurture	3.75	5
proliferation	3.75	10
retaliation	3.75	5
rigid	3.75	4
ruthless	3.75	5
appellate	3.75	6
efficacy	3.75	9
dialect	3.75	5
dismantled	3.75	4
dummy	3.75	3
evoke	3.75	5
coronation	3.75	4
plaster	3.75	3
hover	3.75	3
posture	3.75	5
idle	3.75	4
cue	3.75	3
ambush	3.75	4
agitated	3.74	6
censored	3.74	7
curb	3.74	5
protagonist	3.74	6
reminiscent	3.74	4
upright	3.74	4
nexus	3.74	6
solvent	3.74	7
stipulated	3.74	7
arcade	3.74	3
convened	3.74	5
crab	3.74	3
curator	3.74	3
litter	3.74	3
induction	3.74	3
kernel	3.74	3
latitude	3.74	4
percussion	3.74	3
salvage	3.74	4
trilogy	3.74	3
veto	3.74	4
criterion	3.73	4
dissemination	3.73	11
proponents	3.73	7
rue	3.73	8
solemn	3.73	6
trivial	3.73	4
pathology	3.73	7
eradicate	3.73	4
allegiance	3.73	6
flush	3.73	5
menace	3.73	4
clippers	3.73	3
garner	3.73	6
overturned	3.73	3
inverse	3.73	3
lust	3.73	3
manifesto	3.73	5
pinch	3.73	3
scotch	3.73	4
implicit	3.72	8
infamous	3.72	6
intruder	3.72	4
lurking	3.72	5
paramount	3.72	6
exodus	3.72	5
patriarch	3.72	4
semblance	3.72	4
tempo	3.72	3
acclaimed	3.71	7
alleviate	3.71	10
augmented	3.71	9
fugitive	3.71	3
hampered	3.71	6
hypothetical	3.71	7
provocative	3.71	6
dissolution	3.71	8
bale	3.71	8
cache	3.71	6
asteroid	3.71	4
bureaucracy	3.71	5
comprehend	3.71	4
crest	3.71	4
prank	3.71	3
formality	3.71	3
natal	3.71	3
perimeter	3.71	5
mash	3.71	4
pedestrian	3.7	9
revoked	3.7	4
angular	3.7	4
bombardment	3.7	3
commune	3.7	3
gust	3.7	4
helm	3.7	3
swarm	3.7	3
tenant	3.7	3
lunar	3.7	3
malicious	3.7	4
ordained	3.7	3
peripheral	3.7	6
withstand	3.7	3
alias	3.69	5
austerity	3.69	13
kindle	3.69	6
quarry	3.69	5
withholding	3.69	5
militant	3.69	6
prop	3.69	3
lace	3.69	3
flick	3.69	3
slick	3.69	3
grievances	3.69	3
paradigm	3.69	9
riddle	3.69	4
sophomore	3.69	3
temporal	3.69	5
aquatic	3.69	3
apocalypse	3.69	3
dissent	3.68	7
eccentric	3.68	10
podium	3.68	4
refute	3.68	10
regression	3.68	3
rupture	3.68	3
vie	3.68	6
consecrated	3.68	9
query	3.68	5
rationale	3.68	4
stigma	3.68	8
torque	3.68	5
abbreviated	3.68	6
cohesion	3.68	6
fortified	3.68	3
advent	3.68	5
afflicted	3.68	6
collateral	3.68	3
conspirators	3.68	4
dire	3.68	5
grim	3.68	3
improvised	3.68	5
rag	3.68	4
marital	3.68	3
moody	3.68	3
ratified	3.68	5
ravens	3.68	6
shuffle	3.68	3
trajectory	3.68	3
bourgeois	3.67	6
formidable	3.67	6
incarceration	3.67	4
precursor	3.67	10
sarcasm	3.67	5
superficial	3.67	7
appalling	3.67	6
finery	3.67	3
equilibrium	3.67	5
genus	3.67	3
inception	3.67	4
intoxicated	3.67	3
lag	3.67	4
liaison	3.67	4
motif	3.67	4
parameter	3.67	3
reinstated	3.67	3
elastic	3.67	4
override	3.67	3
proprietary	3.67	4
variance	3.67	4
adversary	3.66	5
anarchist	3.66	6
bestowed	3.66	5
corrosion	3.66	6
impede	3.66	8
incite	3.66	5
obsolete	3.66	6
sensual	3.66	4
artisans	3.66	5
assimilation	3.66	7
gracious	3.66	3
detonated	3.66	3
crust	3.66	3
chant	3.66	3
mosaic	3.66	5
seminary	3.66	3
slack	3.66	4
traverse	3.66	4
vibrant	3.66	3
pragmatic	3.65	12
spartan	3.65	8
compartment	3.65	3
evasion	3.65	5
glare	3.65	3
glazed	3.65	4
homage	3.65	6
lumber	3.65	6
subsidy	3.65	4
banished	3.65	3
proficiency	3.65	5
agile	3.64	6
diluted	3.64	5
gale	3.64	4
impartial	3.64	7
ponder	3.64	8
typhoon	3.64	4
stint	3.64	7
regent	3.64	3
atonement	3.64	6
atrocities	3.64	4
ecclesiastical	3.64	3
outgoing	3.64	4
facade	3.64	6
incompatible	3.64	4
nourishment	3.64	4
swipe	3.64	3
squash	3.64	3
shaving	3.64	3
covert	3.63	8
discrepancy	3.63	8
eroded	3.63	4
subdued	3.63	5
discredit	3.63	5
exacerbated	3.63	12
vogue	3.63	5
demise	3.63	6
ascertain	3.63	4
authoritarian	3.63	4
chore	3.63	3
deflection	3.63	4
glitter	3.63	3
exquisite	3.63	5
outskirts	3.63	3
replica	3.63	3
anarchy	3.62	8
chaotic	3.62	3
delusion	3.62	6
imbalance	3.62	3
reciprocal	3.62	8
recurrent	3.62	3
sensory	3.62	3
serenity	3.62	7
causal	3.62	4
purported	3.62	6
hive	3.62	4
artery	3.62	4
corpus	3.62	3
demolition	3.62	4
fumble	3.62	4
submerged	3.62	3
mutilation	3.62	3
reimbursement	3.62	3
